Time,G6P,F6P,FBP,DHAP,GA3P,23PG,PEP,R5P,RU5P+X5P,E4P,CIT,ACN,ICIT,OAS,GLU,SER,ASP,THR,HOM,TYR,GLY,PRO,ALA,MET,VAL,PHE,ILEU,LEU,TRP,HIS,ARG,PYR,ORO,FUM,URA,AKG,ACT
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.101466667,0.446666667,0.0,0.190666667,0.024512,0.0544,0.0,0.003685333,0.0,0.0,1.802666667,0.744,0.076,0.060766667,10.63333333,0.198666667,0.0971,0.0,0.080833333,0.295333333,0.356666667,0.006433333,0.360666667,0.162,0.251,0.060166667,0.051133333,0.041666667,0.031866667,4.69,0.138466667,0.0,8.0,,88.5,0.0,444.0
2,0.277733333,0.782666667,0.0,0.533333333,0.00914,0.096666667,0.0,0.017333333,0.0,0.0,6.866666667,2.058666667,0.6,0.134333333,9.763333333,0.206333333,0.135,0.0047,0.141033333,0.300333333,0.333666667,0.0,0.357333333,0.164,0.268666667,0.0658,0.045266667,0.039966667,0.035833333,3.856666667,0.619,36.75,15.25,1.25,4.25,0.0,415.0
3,0.3624,0.693333333,0.0,0.828,0.03812,0.084266667,0.0,0.0776,0.0,0.0,8.506666667,1.748,0.498666667,0.287,6.356666667,0.247,0.179666667,0.1011,0.218666667,0.309,0.31,0.029033333,0.314666667,0.167666667,0.282666667,0.077866667,0.071266667,0.067166667,0.042066667,3.95,1.556666667,31.75,16.25,1.25,30.75,0.0,328.25
4,0.704,0.957333333,0.0,1.770666667,0.064666667,0.093333333,0.06328,0.155066667,0.052933333,0.0,12.94666667,2.670666667,0.512,0.669666667,6.126666667,0.207666667,0.172333333,0.133633333,0.347666667,0.313666667,0.230333333,0.082433333,0.460666667,0.170333333,0.291666667,0.092366667,0.112333333,0.1056,0.052033333,4.856666667,2.943333333,34.75,10.25,0.0,46.25,0.0,243.5
5,1.450666667,2.194666667,0.0,3.138666667,0.1976,0.442666667,0.189866667,0.302666667,0.136533333,0.0,17.8,3.230666667,0.472,0.999333333,6.943333333,0.252333333,0.258,0.281666667,0.367333333,0.338,0.431,0.133333333,0.721,0.175333333,0.324333333,0.122,0.177333333,0.156,0.068833333,5.67,4.753333333,492.25,147.75,1.0,7.25,0.0,2931.5
6,2.996,5.76,0.0,6.733333333,0.666666667,1.397333333,0.596,0.881333333,0.409466667,0.0,35.45333333,5.04,1.534666667,1.293333333,7.536666667,0.274333333,0.259666667,0.458666667,0.609,0.355333333,0.308733333,0.166333333,0.87,0.182666667,0.366,0.150333333,0.247,0.231333333,0.0849,6.493333333,6.923333333,1686.5,434.0,2.0,48.5,0.0,7585.0
7,6.52,9.453333333,0.0,11.17333333,1.513333333,3.14,1.098666667,1.832,0.744,0.121333333,47.86666667,6.346666667,4.24,1.64,11.56666667,0.313333333,0.333333333,0.614,0.751666667,0.348333333,0.731333333,0.228666667,1.183333333,0.192,0.443333333,0.201,0.369,0.347666667,0.098766667,6.833333333,9.613333333,2636.0,583.0,2.5,18.5,0.0,8945.5
8,10.72,18.34666667,6.293333333,17.73333333,3.941333333,5.866666667,1.82,2.498666667,1.136,0.4004,85.86666667,9.413333333,10.57333333,1.826666667,7.176666667,0.255,0.689333333,1.336666667,1.173333333,0.374,0.508666667,0.287666667,1.35,0.268666667,0.841,0.225333333,0.749666667,0.727666667,0.112333333,6.84,8.873333333,4924.0,998.0,5.0,30.0,5.5,12948.5
9,13.45333333,25.97333333,14.56,23.37333333,6.813333333,7.826666667,2.114666667,3.033333333,1.573333333,0.534666667,95.46666667,11.17333333,14.96,1.713333333,9.88,0.295333333,0.925,1.666666667,1.91,0.475333333,0.422,0.331666667,1.693333333,0.336666667,1.08,0.26,1.053333333,1.059666667,0.118333333,6.186666667,7.55,3475.0,1099.5,3.0,168.5,12.5,12546.5
10,15.86666667,29.29333333,33.96,36.88,9.56,13.04,4.213333333,5.88,2.650666667,0.774666667,126.1333333,13.54666667,22.26666667,1.786666667,7.14,0.528666667,1.126666667,2.04,2.256666667,0.539333333,0.608333333,0.415333333,1.63,0.310333333,1.047333333,0.451333333,1.273333333,1.193333333,0.133,6.746666667,7.436666667,3083.5,856.0,3.0,340.0,50.0,7551.0
11,17.65333333,26.58666667,34.21333333,44.0,11.90666667,15.61333333,8.44,8.186666667,3.688,0.973333333,132.0,13.74666667,21.69333333,1.726666667,4.06,0.550333333,8.24,1.903333333,2.136666667,1.813333333,0.554,0.384333333,1.343333333,0.3,4.593333333,7.593333333,8.58,8.493333333,0.169,6.343333333,6.213333333,3210.5,666.5,3.5,524.5,101.0,7396.5
12,17.12,19.38666667,26.22666667,50.4,15.04,19.34666667,12.97333333,7.933333333,3.688,1.206666667,139.8666667,14.13333333,23.13333333,1.75,4.466666667,0.476666667,11.63333333,2.446666667,2.243333333,13.3,0.556,0.446333333,1.52,0.282,13.36666667,12.83333333,12.36666667,12.2,0.252,5.983333333,5.343333333,2717.5,574.0,2.0,632.5,131.0,5391.5
13,12.76,14.41333333,10.26666667,41.96,14.53333333,17.93333333,14.08,8.8,2.862666667,0.997333333,113.8666667,10.90666667,14.76,1.733333333,5.176666667,0.868,10.83333333,2.343333333,2.01,23.43333333,1.231333333,0.542,1.466666667,0.346666667,20.9,13.33333333,11.63333333,11.63333333,0.228666667,5.916666667,4.92,2593.0,580.0,0.0,869.0,186.5,4096.0
14,14.12,19.26666667,7.346666667,41.46666667,15.04,18.50666667,16.76,9.76,3.174666667,1.16,122.2666667,11.28,15.02666667,1.743333333,5.49,0.587666667,11.3,2.586666667,2.16,26.0,0.718,0.454,1.43,0.278,27.96666667,15.46666667,12.23333333,12.16666667,0.227,5.453333333,3.813333333,2532.0,616.5,0.0,1124.5,189.0,3714.0
15,14.37333333,14.6,4.058666667,36.34666667,13.2,19.18666667,18.41333333,8.546666667,3.033333333,1.310666667,119.7333333,10.28,9.586666667,1.77,6.006666667,0.534666667,12.83333333,2.343333333,2.38,27.36666667,0.668333333,0.442,1.396666667,0.342666667,36.2,17.9,13.46666667,13.53333333,0.220333333,5.086666667,2.896666667,2443.0,636.5,0.0,1230.5,180.0,2979.5
16,14.53333333,14.69333333,0.0,32.28,10.49333333,19.45333333,20.42666667,10.29333333,2.784,1.28,133.2,9.893333333,8.373333333,1.71,6.203333333,0.491,13.7,2.24,2.14,29.8,0.607333333,0.392333333,1.088666667,0.397666667,41.23333333,19.33333333,14.36666667,14.33333333,0.216,4.623333333,2.906666667,2332.5,663.0,0.0,1344.5,200.0,2707.0
17,11.10666667,14.14666667,0.0,22.86666667,8.28,18.08,17.96,8.04,2.676,1.002666667,101.8666667,8.426666667,5.266666667,1.653333333,6.13,0.479666667,14.43333333,2.34,2.186666667,28.63333333,0.658,0.382666667,1.17,0.422666667,44.83333333,19.26666667,14.63333333,14.63333333,0.190666667,4.253333333,2.5,2143.5,679.0,0.0,1406.0,164.5,2576.0
26,8.626666667,11.38666667,0.0,6.84,2.724,18.54666667,16.18666667,6.08,1.393333333,0.589333333,73.6,4.36,1.734666667,1.736666667,6.53,0.45,20.86666667,2.046666667,2.433333333,26.0,0.749666667,0.478333333,1.51,0.550666667,88.5,28.0,20.16666667,20.33333333,0.1043,4.346666667,2.066666667,2018.0,682.5,0.0,1443.0,158.5,2582.0
